num nodos	tiempo
1	0,00018095970153808594
2	0,00029540061950683594
3	0,000568389892578125
4	0,0014045238494873047
5	0,0033690929412841797
6	0,009201526641845703
7	0,025345802307128906
8	0,061305999755859375
9	0,15235328674316406
10	0,37305665016174316
11	0,8694930076599121
12	2,0402121543884277
13	4,816144704818726
14	11,151806831359863
15	25,1441912651062
16	57,21149492263794
17	130,59180665016174
num nodos	tiempo
1	0,00019931793212890625
2	0,0004413127899169922
3	0,0005993843078613281
4	0,0015730857849121094
5	0,003673076629638672
6	0,009213447570800781
7	0,023581743240356445
8	0,06207776069641113
9	0,1501929759979248
10	0,372631311416626
11	0,883277177810669
12	2,069000720977783
13	4,8294126987457275
14	10,940252780914307
15	25,448469877243042
16	56,78215670585632
17	130,97423148155212
18	301,6732316017151
19	658,0641624927521
20	1394,415100812912
num nodos	tiempo
1	0,0002205371856689453
2	0,0002834796905517578
3	0,0006079673767089844
4	0,0014977455139160156
5	0,004006624221801758
6	0,010036230087280273
7	0,02427220344543457
8	0,0620884895324707
9	0,15631437301635742
10	0,3733069896697998
11	0,9103951454162598
12	2,1213533878326416
13	4,9338219165802
14	11,206190586090088
15	25,740557432174683
16	57,81919550895691
17	128,52179312705994
18	320,8445670604706
19	643,411881685257
num nodos	tiempo
1	0,00023221969604492188
2	0,0003094673156738281
3	0,0006537437438964844
4	0,001407623291015625
5	0,0036149024963378906
6	0,00917363166809082
7	0,024480342864990234
8	0,061192989349365234
9	0,14927983283996582
10	0,36715197563171387
11	0,8866112232208252
12	2,076113224029541
13	4,800778150558472
14	11,230251789093018
15	25,470815896987915
16	57,93439483642578
17	130,57744240760803
18	288,847021818161
19	643,3536171913147
num nodos	tiempo
1	0,00020003318786621094
2	0,0003192424774169922
3	0,0006144046783447266
4	0,0014750957489013672
5	0,0038847923278808594
6	0,010961771011352539
7	0,02368783950805664
8	0,060745954513549805
9	0,15558719635009766
10	0,3679921627044678
11	0,8755171298980713
12	2,0870492458343506
13	4,841061592102051
14	11,024569034576416
15	25,12670612335205
16	57,01196336746216
17	129,9664089679718
18	293,411940574646
19	645,2832446098328
